name,company,company_size,field,workarea,salary,background,education
java开发工程师,河南秉琦网络科技有限公司,15-50人,"移动互联网,教育",郑州,4k-8k,不限,本科
平台服务器端研发主程,恒安卫士（深圳）电子科技发展有限公司,50-150人,"人工智能,软件开发",北京,25k-35k,5-10年,本科
电子厂包吃包住月6千,重庆驰百电子科技有限公司,150-500人,通讯电子,重庆,4k-6k,不限,不限
android开发工程师,深圳市时光轴科技有限公司,少于15人,移动互联网,深圳,8k-14k,3-5年,不限
java开发工程师,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",北京,15k-25k,1-3年,本科
前端开发工程师,浙江汇信科技有限公司,150-500人,"移动互联网,电商",杭州,15k-22k,5-10年,本科
无人配送部-无人车-数据平台开发专家,北京三快在线科技有限公司,2000人以上,消费生活,北京,25k-40k,3-5年,本科
数据运维岗,联合信用征信股份有限公司,500-2000人,"企业服务,数据服务",北京,10k-20k,不限,本科
财务bp（建筑行业）,上海宏信设备工程有限公司,2000人以上,其他,上海,15k-25k,5-10年,本科
药学编辑,武汉碎片文化传播有限公司,15-50人,教育,武汉,3k-6k,应届毕业生,本科
业务员(南环路)(4000-8000+ ）,泉州三创光电有限公司,少于15人,"通讯电子,其他",泉州,4k-8k,1年以下,不限
乐有家诚聘销售精英,惠州市乐有家房产经纪有限公司南贸花园分公司,2000人以上,其他,惠州,4k-6k,不限,不限
三和伯恩普工,伯恩科技（惠州）有限公司,2000人以上,通讯电子,惠州,5k-7k,不限,不限
技术总监/CTO,六次方（北京）信息科技有限公司,150-500人,企业服务,北京,60k-100k,5-10年,本科
用户运营,熙南（上海）网络科技有限公司,15-50人,"移动互联网,社交",上海,8k-14k,1-3年,本科
视觉设计师（腾讯）,深圳市前海润杨金融服务有限公司,2000人以上,"移动互联网,金融",深圳,10k-13k,1-3年,本科
java开发工程师,河南秉琦网络科技有限公司,15-50人,"移动互联网,教育",郑州,4k-8k,不限,本科
平台服务器端研发主程,恒安卫士（深圳）电子科技发展有限公司,50-150人,"人工智能,软件开发",北京,25k-35k,5-10年,本科
电子厂包吃包住月6千,重庆驰百电子科技有限公司,150-500人,通讯电子,重庆,4k-6k,不限,不限
android开发工程师,深圳市时光轴科技有限公司,少于15人,移动互联网,深圳,8k-14k,3-5年,不限
java开发工程师,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",北京,15k-25k,1-3年,本科
8k诚聘交易员,北京储慧国际咨询有限公司,150-500人,金融,北京,8k-15k,不限,不限
无人配送部-无人车-数据平台开发专家,北京三快在线科技有限公司,2000人以上,消费生活,北京,25k-40k,3-5年,本科
Java开发工程师,周生生(中国)商业有限公司,2000人以上,"电商,其他",广州,8k-15k,1-3年,本科
数据运维岗,联合信用征信股份有限公司,500-2000人,"企业服务,数据服务",北京,10k-20k,不限,本科
财务bp（建筑行业）,上海宏信设备工程有限公司,2000人以上,其他,上海,15k-25k,5-10年,本科
药学编辑,武汉碎片文化传播有限公司,15-50人,教育,武汉,3k-6k,应届毕业生,本科
Java开发工程师,北京旭阳数字科技有限公司,15-50人,"软件开发,物联网",北京,12k-18k,1-3年,本科
电话销售(南环路)(3000-6000+),泉州三创光电有限公司,少于15人,"通讯电子,其他",泉州,3k-6k,不限,不限
储备店长,惠州市乐有家房产经纪有限公司南贸花园分公司,2000人以上,其他,惠州,4k-6k,不限,不限
架构师技术专家,恒大高科技集团有限公司,500-2000人,"人工智能,物联网",深圳,45k-60k,10年以上,本科
三和伯恩普工,伯恩科技（惠州）有限公司,2000人以上,通讯电子,惠州,5k-7k,不限,不限
技术总监/CTO,六次方（北京）信息科技有限公司,150-500人,企业服务,北京,60k-100k,5-10年,本科
用户运营,熙南（上海）网络科技有限公司,15-50人,"移动互联网,社交",上海,8k-14k,1-3年,本科
视觉设计师（腾讯）,深圳市前海润杨金融服务有限公司,2000人以上,"移动互联网,金融",深圳,10k-13k,1-3年,本科
java开发工程师,河南秉琦网络科技有限公司,15-50人,"移动互联网,教育",郑州,4k-8k,不限,本科
区块链项目经理,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,15k-30k,3-5年,本科
高级后端研发工程师,上海探星网络科技有限公司,15-50人,广告营销,北京,20k-40k,3-5年,本科
招聘专员,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,6k-10k,1-3年,大专
高级ios开发工程师,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,12k-24k,3-5年,本科
java开发工程师,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,8k-15k,不限,本科
前端开发工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,10k-15k,5-10年,大专
高级前端开发工程师（视频）,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,15k-20k,5-10年,本科
浙大诚聘 机器人操作系统（ROS）高级技术总监,浙江大学,15-50人,教育,杭州,25k-41k,3-5年,硕士
java开发工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,9k-14k,3-5年,本科
嵌入式研发经理,开放智能机器（上海）有限公司,50-150人,其他,上海,40k-60k,5-10年,硕士
英语编辑,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,5k-10k,不限,本科
电商客服,安星购（杭州）贸易有限公司,少于15人,电商,杭州,3k-6k,1-3年,不限
资深JAVA开发工程师,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,35k-50k,5-10年,本科
保险规划师,中国人寿保险股份有限公司上海市浦东支公司,2000人以上,"金融,其他",上海,8k-10k,不限,大专
hrd/hrvp/人力资源总监,北京桉桉投资管理有限公司,150-500人,金融,北京,55k-85k,5-10年,本科
区块链技术专家,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,50k-100k,3-5年,本科
高级ios开发工程师,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,12k-24k,3-5年,本科
java开发工程师,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,8k-15k,不限,本科
前端开发工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,10k-15k,5-10年,大专
高级前端开发工程师（视频）,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,15k-20k,5-10年,本科
浙大诚聘 web开发后端工程师,浙江大学,15-50人,教育,杭州,12k-16k,3-5年,本科
软件测试工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,7k-12k,1-3年,本科
新媒体内容运营,开放智能机器（上海）有限公司,50-150人,其他,深圳,10k-20k,3-5年,本科
国内市场总监,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,25k-40k,5-10年,本科
电商客服,安星购（杭州）贸易有限公司,少于15人,电商,杭州,3k-6k,1-3年,不限
资深JAVA开发工程师,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,35k-50k,5-10年,本科
保险规划师,中国人寿保险股份有限公司上海市浦东支公司,2000人以上,"金融,其他",上海,8k-10k,不限,大专
hrd/hrvp/人力资源总监,北京桉桉投资管理有限公司,150-500人,金融,北京,55k-85k,5-10年,本科
红外热像仪研发工程师,江苏匠影智能医疗科技有限公司,50-150人,数据服务,苏州,15k-25k,5-10年,硕士
投资管理,北京储慧国际咨询有限公司,150-500人,金融,北京,8k-16k,不限,不限
区块链技术专家,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,50k-100k,3-5年,本科
高级ios开发工程师,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,12k-24k,3-5年,本科
java开发工程师,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,8k-15k,不限,本科
前端开发工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,10k-15k,5-10年,大专
高级前端开发工程师（视频）,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,15k-20k,5-10年,本科
浙大诚聘 web开发后端工程师,浙江大学,15-50人,教育,杭州,12k-16k,3-5年,本科
软件测试工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,7k-12k,1-3年,本科
新媒体内容运营,开放智能机器（上海）有限公司,50-150人,其他,深圳,10k-20k,3-5年,本科
英语编辑,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,5k-10k,不限,本科
电商客服,安星购（杭州）贸易有限公司,少于15人,电商,杭州,3k-6k,1-3年,不限
资深JAVA开发工程师,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,35k-50k,5-10年,本科
保险规划师,中国人寿保险股份有限公司上海市浦东支公司,2000人以上,"金融,其他",上海,8k-10k,不限,大专
hrd/hrvp/人力资源总监,北京桉桉投资管理有限公司,150-500人,金融,北京,55k-85k,5-10年,本科
红外热像仪研发工程师,江苏匠影智能医疗科技有限公司,50-150人,数据服务,苏州,15k-25k,5-10年,硕士
投资管理,北京储慧国际咨询有限公司,150-500人,金融,北京,8k-16k,不限,不限
区块链项目经理,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,15k-30k,3-5年,本科
中高级java开发工程师,慧博云通科技股份有限公司,2000人以上,"软件开发,其他",广州,18k-25k,3-5年,本科
高级后端研发工程师,上海探星网络科技有限公司,15-50人,广告营销,北京,20k-40k,3-5年,本科
招聘专员,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,6k-10k,1-3年,大专
高级ios开发工程师,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,12k-24k,3-5年,本科
java开发工程师,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,8k-15k,不限,本科
前端开发工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,10k-15k,5-10年,大专
高级前端开发工程师（视频）,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,15k-20k,5-10年,本科
高级Java开发工程师--后台产品研发,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,30k-45k,3-5年,本科
浙大诚聘 机器人操作系统（ROS）高级技术总监,浙江大学,15-50人,教育,杭州,25k-41k,3-5年,硕士
java开发工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,9k-14k,3-5年,本科
嵌入式研发经理,开放智能机器（上海）有限公司,50-150人,其他,上海,40k-60k,5-10年,硕士
英语编辑,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,5k-10k,不限,本科
电商客服,安星购（杭州）贸易有限公司,少于15人,电商,杭州,3k-6k,1-3年,不限
保险规划师,中国人寿保险股份有限公司上海市浦东支公司,2000人以上,"金融,其他",上海,8k-10k,不限,大专
区块链项目经理,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,15k-30k,3-5年,本科
软件测试工程师,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",北京,8k-13k,3-5年,大专
中高级java开发工程师,慧博云通科技股份有限公司,2000人以上,"软件开发,其他",广州,18k-25k,3-5年,本科
高级后端研发工程师,上海探星网络科技有限公司,15-50人,广告营销,北京,20k-40k,3-5年,本科
招聘专员,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,6k-10k,1-3年,大专
高级ios开发工程师,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,12k-24k,3-5年,本科
java开发工程师,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,8k-15k,不限,本科
java中级工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,5k-10k,1-3年,大专
前端开发工程师Vue,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,12k-20k,3-5年,本科
高级Java开发工程师--后台产品研发,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,30k-45k,3-5年,本科
浙大诚聘 机器人操作系统（ROS）高级技术总监,浙江大学,15-50人,教育,杭州,25k-41k,3-5年,硕士
java开发工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,9k-14k,3-5年,本科
嵌入式研发经理,开放智能机器（上海）有限公司,50-150人,其他,上海,40k-60k,5-10年,硕士
英语编辑,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,5k-10k,不限,本科
电商客服,安星购（杭州）贸易有限公司,少于15人,电商,杭州,3k-6k,1-3年,不限
区块链项目经理,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,15k-30k,3-5年,本科
急招货运司机,保定江洲运输服务有限公司,150-500人,物流丨运输,保定,15k-25k,不限,不限
软件测试工程师,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",北京,8k-13k,3-5年,大专
中高级java开发工程师,慧博云通科技股份有限公司,2000人以上,"软件开发,其他",广州,18k-25k,3-5年,本科
高级后端研发工程师,上海探星网络科技有限公司,15-50人,广告营销,北京,20k-40k,3-5年,本科
招聘专员,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,6k-10k,1-3年,大专
头条、抖音运营,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,7k-14k,1-3年,大专
项目经理,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,10k-20k,3-5年,本科
java中级工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,5k-10k,1-3年,大专
前端开发工程师Vue,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,12k-20k,3-5年,本科
高级Java开发工程师--后台产品研发,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,30k-45k,3-5年,本科
浙大诚聘 机器人操作系统（ROS）高级技术总监,浙江大学,15-50人,教育,杭州,25k-41k,3-5年,硕士
java开发工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,9k-14k,3-5年,本科
嵌入式研发经理,开放智能机器（上海）有限公司,50-150人,其他,上海,40k-60k,5-10年,硕士
英语编辑,成都易我科技开发有限责任公司,150-500人,"移动互联网,游戏",成都,5k-10k,不限,本科
区块链项目经理,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,15k-30k,3-5年,本科
内容审核（初审）,长沙冉星信息科技有限公司,50-150人,"移动互联网,数据服务",长沙,5k-7k,1-3年,本科
急招货运司机,保定江洲运输服务有限公司,150-500人,物流丨运输,保定,15k-25k,不限,不限
软件测试工程师,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",北京,8k-13k,3-5年,大专
中高级java开发工程师,慧博云通科技股份有限公司,2000人以上,"软件开发,其他",广州,18k-25k,3-5年,本科
高级后端研发工程师,上海探星网络科技有限公司,15-50人,广告营销,北京,20k-40k,3-5年,本科
招聘专员,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,6k-10k,1-3年,大专
android开发,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,杭州,16k-25k,3-5年,本科
头条、抖音运营,未来大学（深圳）教育科技有限公司,15-50人,教育,深圳,7k-14k,1-3年,大专
项目经理,广州健新科技股份有限公司,150-500人,"数据服务,硬件",广州,10k-20k,3-5年,本科
java中级工程师,凯德技术长沙股份有限公司,150-500人,软件开发,长沙,5k-10k,1-3年,大专
前端开发工程师Vue,广州聚焦网络技术有限公司,150-500人,"移动互联网,电商",广州,12k-20k,3-5年,本科
高级Java开发工程师--后台产品研发,北京奇艺世纪科技有限公司,2000人以上,文娱丨内容,北京,30k-45k,3-5年,本科
浙大诚聘 机器人操作系统（ROS）高级技术总监,浙江大学,15-50人,教育,杭州,25k-41k,3-5年,硕士
java开发工程师,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",成都,9k-14k,3-5年,本科
java架构师,无锡鼎洲电子科技有限公司,15-50人,人工智能,无锡,20k-30k,3-5年,本科
Java开发工程师——金融科技,浙江吉利控股集团有限公司,2000人以上,"电商,消费生活",北京,20k-40k,5-10年,本科
web前端开发工程师,潍坊方圆网通科技有限公司,50-150人,"移动互联网,广告营销",潍坊,4k-8k,1-3年,大专
行政专员,广州市澳兴冷链供应有限公司,50-150人,其他,广州,4k-5k,1-3年,大专
高级插画师,北京鱼爪网络科技有限公司成都分公司,2000人以上,"移动互联网,电商",成都,8k-12k,1-3年,大专
环保技术员,武汉水之国环保科技有限公司,15-50人,其他,武汉,5k-8k,不限,大专
市场推广专员,上海宸宾实业有限公司,15-50人,电商、教育,上海,20k-40k,不限,不限
质检员,杭州伟业精密模塑厂,50-150人,其他,杭州,4k-6k,不限,不限
项目经理,深圳市新国都股份有限公司,2000人以上,"金融,硬件",深圳,15k-25k,5-10年,本科
市场拓展专员,深圳永泰禾嘉科技有限公司,15-50人,医疗丨健康、电商,深圳,5k-10k,应届毕业生,不限
园区运营,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,5k-7k,不限,本科
内容审核岗,长沙冉星信息科技有限公司,50-150人,"移动互联网,数据服务",长沙,5k-7k,1-3年,本科
财务出纳,保定江洲运输服务有限公司,150-500人,物流丨运输,保定,2k-4k,不限,不限
大数据开发工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,12k-18k,1-3年,本科
大数据开发工程师-NJ,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",南京,18k-28k,10年以上,本科
java架构师,无锡鼎洲电子科技有限公司,15-50人,人工智能,无锡,20k-30k,3-5年,本科
web前端开发工程师,潍坊方圆网通科技有限公司,50-150人,"移动互联网,广告营销",潍坊,4k-8k,1-3年,大专
行政专员,广州市澳兴冷链供应有限公司,50-150人,其他,广州,4k-5k,1-3年,大专
环保技术员,武汉水之国环保科技有限公司,15-50人,其他,武汉,5k-8k,不限,大专
市场推广专员,上海宸宾实业有限公司,15-50人,电商、教育,上海,20k-40k,不限,不限
项目经理,深圳市新国都股份有限公司,2000人以上,"金融,硬件",深圳,15k-25k,5-10年,本科
市场拓展专员,深圳永泰禾嘉科技有限公司,15-50人,医疗丨健康、电商,深圳,5k-10k,应届毕业生,不限
园区运营,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,5k-7k,不限,本科
内容审核岗,长沙冉星信息科技有限公司,50-150人,"移动互联网,数据服务",长沙,5k-7k,1-3年,本科
财务出纳,保定江洲运输服务有限公司,150-500人,物流丨运输,保定,2k-4k,不限,不限
大数据开发工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,12k-18k,1-3年,本科
大数据开发工程师-NJ,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",南京,18k-28k,10年以上,本科
android开发工程师,慧博云通科技股份有限公司,2000人以上,"软件开发,其他",广州,16k-22k,3-5年,本科
企业号认证电话销售客服,江苏铭图信息科技有限公司,15-50人,不限,南通,4k-8k,不限,不限
java开发工程师,深圳市网新新思软件有限公司,500-2000人,"移动互联网,企业服务",深圳,10k-15k,3-5年,本科
java架构师,无锡鼎洲电子科技有限公司,15-50人,人工智能,无锡,20k-30k,3-5年,本科
Java开发工程师——金融科技,浙江吉利控股集团有限公司,2000人以上,"电商,消费生活",北京,20k-40k,5-10年,本科
web前端开发工程师,潍坊方圆网通科技有限公司,50-150人,"移动互联网,广告营销",潍坊,4k-8k,1-3年,大专
行政专员,广州市澳兴冷链供应有限公司,50-150人,其他,广州,4k-5k,1-3年,大专
高级插画师,北京鱼爪网络科技有限公司成都分公司,2000人以上,"移动互联网,电商",成都,8k-12k,1-3年,大专
环保技术员,武汉水之国环保科技有限公司,15-50人,其他,武汉,5k-8k,不限,大专
市场推广专员,上海宸宾实业有限公司,15-50人,电商、教育,上海,20k-40k,不限,不限
质检员,杭州伟业精密模塑厂,50-150人,其他,杭州,4k-6k,不限,不限
项目经理,深圳市新国都股份有限公司,2000人以上,"金融,硬件",深圳,15k-25k,5-10年,本科
市场拓展专员,深圳永泰禾嘉科技有限公司,15-50人,医疗丨健康、电商,深圳,5k-10k,应届毕业生,不限
园区运营,杭州时戳信息科技有限公司,50-150人,"移动互联网,区块链",杭州,5k-7k,不限,本科
内容审核岗,长沙冉星信息科技有限公司,50-150人,"移动互联网,数据服务",长沙,5k-7k,1-3年,本科
财务出纳,保定江洲运输服务有限公司,150-500人,物流丨运输,保定,2k-4k,不限,不限
大数据开发工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,12k-18k,1-3年,本科
大数据开发工程师-NJ,迪原创新（北京）科技有限公司南京分公司,150-500人,"移动互联网,企业服务",南京,18k-28k,10年以上,本科
语音识别/合成算法专家,广东美的制冷设备有限公司,2000人以上,硬件,上海,40k-60k,10年以上,硕士
销售总监,无锡鼎洲电子科技有限公司,15-50人,人工智能,无锡,12k-15k,3-5年,本科
销售专员,天津链家宝业房地产经纪有限公司宝山道店,2000人以上,移动互联网、企业服务,天津,5k-10k,应届毕业生,本科
前端react开发工程师,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",北京,10k-15k,3-5年,本科
Delphi工程师,上海同望信息技术有限公司武汉分公司,50-150人,"移动互联网,数据服务",武汉,4k-8k,不限,本科
Java开发工程师——金融科技,浙江吉利控股集团有限公司,2000人以上,"电商,消费生活",北京,20k-40k,5-10年,本科
web前端开发工程师,学透通医疗科技（上海）有限公司,150-500人,"移动互联网,医疗丨健康",上海,14k-20k,3-5年,大专
平面设计美工,潍坊方圆网通科技有限公司,50-150人,"移动互联网,广告营销",潍坊,4k-6k,1-3年,大专
物业管理员,广州市澳兴冷链供应有限公司,50-150人,其他,广州,3k-5k,1-3年,大专
高级插画师,北京鱼爪网络科技有限公司成都分公司,2000人以上,"移动互联网,电商",成都,8k-12k,1-3年,大专
销售经理,上海宸宾实业有限公司,15-50人,电商、教育,上海,10k-20k,应届毕业生,不限
线上销售,武汉水之国环保科技有限公司,15-50人,其他,武汉,4k-8k,1-3年,大专
